judul,tahun,penulis,publisher,tipe,kata_kunci,abstrak,pdf_url,thumbnail_path
Hybrid Deep Reinforcement Learning for Joint Resource Allocation in Multi-Active RIS-Aided Uplink Communications,2025,"Mohamed Shalma, Engy Aly Maher, Ahmed El-Mahdy",arXiv,Preprint,Reconfigurable Intelligent Surfaces (RIS); Deep Reinforcement Learning (DRL); Soft Actor-Critic (SAC); Deep Deterministic Policy Gradient (DDPG),"Active Reconfigurable Intelligent Surfaces (RIS) are
a promising technology for 6G wireless networks. This paper
investigates a novel hybrid deep reinforcement learning (DRL)
framework for resource allocation in a multi-user uplink system
assisted by multiple active RISs. The objective is to maximize the
minimum user rate by jointly optimizing user transmit powers,
active RIS configurations, and base station (BS) beamforming.
We derive a closed-form solution for optimal beamforming
and employ DRL algorithmsSoft actor-critic (SAC), deep
deterministic policy gradient (DDPG), and twin delayed DDPG
(TD3)to solve the high-dimensional, non-convex power and RIS
optimization problem. Simulation results demonstrate that SAC
achieves superior performance with high learning rate leading
to faster convergence and lower computational cost compared
to DDPG and TD3. Furthermore, the closed-form of optimally
beamforming enhances the minimum rate effectively.",https://arxiv.org/pdf/2512.22107,data/thumbnail/arxiv_1.png
Learning continually with representational drift,2025,"Suzanne van der Veldt, Gido M. van de Ven, Sanne Moorman, Guillaume Etter",arXiv,Preprint,Continual Learning; Representational Drift; Stability-Plasticity Trade-off; Catastrophic Forgetting; Biological Neural Networks; Neuroscience-inspired AI; Non-stationary Data,"Deep artificial neural networks famously struggle to learn from non-stationary streams of data. Without dedicated
mitigation strategies, continual learning is associated with continuous forgetting of previous tasks and a progressive loss
of plasticity. Current approaches to continual learning have either focused on increasing the stability of representations
of past tasks, or on promoting plasticity for future learning. Paradoxically, while animals including humans achieve a
desirable stability-plasticity trade-off, the responses of biological neurons to external stimuli that are associated with
stable behaviors gradually change over time. This suggests that, although unstable representations have historically
been seen as undesirable in artificial systems, they could be a core property of biological neural networks learning
continually. Here, we examine how linking representational drift to continual learning in biological neural networks could
inform artificial systems. We highlight the existence of representational drift across numerous animal species and brain
regions and propose that drift reflects a mixture of homeostatic turnover and learning-related synaptic plasticity. In
particular, we evaluate how plasticity induced by learning new tasks could induce drift in the representation of previous
tasks, and how such drift could accumulate across brain regions. In deep artificial neural networks, we propose that
representational drift is only compatible with approaches that do not explicitly prevent parameter changes to mitigate
forgetting. Remarkably, jointly promoting plasticity while mitigating forgetting could in principle induce representational
drift in continual learning. While we argue that drift is a byproduct rather than a solution to incremental learning, its
investigation could inform approaches to continual learning in artificial systems.",https://arxiv.org/pdf/2512.22045,data/thumbnail/arxiv_2.png
Deep Learning Based Auction Design for Selling Agricultural Produce through Farmer Collectives to Maximize Nash Social Welfare,2025,"Mayank Ratan Bhardwaj, Vishisht Srihari Rao, Bazil Ahmed, Kartik Sagar, Y. Narahari",arXiv,Preprint,Mechanism Design; Volume Discount Auction; Deep Learning for Auctions; Nash Social Welfare; Farmer Collectives; Incentive Compatibility; Agricultural Markets,"This paper is motivated by the need to design a robust
market mechanism to benefit farmers (producers of agricultural produce) as well as buyers of agricultural produce
(consumers). Our proposal is a volume discount auction
with a Farmer Collective (FC) as the selling agent and
high volume or retail consumers as buying agents. An FC
is a cooperative of farmers coming together to harness the
power of aggregation and economies of scale. Our auction
mechanism seeks to satisfy fundamental properties such
as incentive compatibility and individual rationality, and
an extremely relevant property for the agriculture setting,
namely, Nash social welfare maximization. Besides satisfying these properties, our proposed auction mechanism
also ensures that certain practical business constraints are
met. Since an auction satisfying all of these properties exactly is a theoretical impossibility, we invoke the idea of
designing deep learning networks that learn such an auction with minimal violation of the desired properties. The
proposed auction, which we call VDA-SAP (Volume Discount Auction for Selling Agricultural Produce), is superior in many ways to the classical VCG (Vickrey-ClarkeGroves) mechanism in terms of richness of properties satisfied and further outperforms other baseline auctions as
well. We demonstrate our results for a realistic setting of
an FC selling perishable vegetables to potential buyers.",https://arxiv.org/pdf/2512.22039,data/thumbnail/arxiv_3.png
From In Silico to In Vitro: Evaluating Molecule Generative Models for Hit Generation,2025,"Nagham Osman, Vittorio Lembo, Giovanni Bottegoni, Laura Toni",arXiv,Preprint,Hit Identification; De Novo Molecular Design; Generative Models; Hit-like Molecule Generation; Drug Discovery Pipeline; Molecular Diffusion Models; Virtual Screening,"Hit identification is a critical yet resource-intensive step in the drug discovery
pipeline, traditionally relying on high-throughput screening of large compound
libraries. Despite advancements in virtual screening, these methods remain timeconsuming and costly. Recent progress in deep learning has enabled the development of generative models capable of learning complex molecular representations
and generating novel compounds de novo. However, using ML to replace the entire
drug-discovery pipeline is highly challenging. In this work, we rather investigate
whether generative models can replace one step of the pipeline: hit-like molecule
generation. To the best of our knowledge, this is the first study to explicitly frame
hit-like molecule generation as a standalone task and empirically test whether
generative models can directly support this stage of the drug discovery pipeline.
Specifically, we investigate if such models can be trained to generate hit-like
molecules, enabling direct incorporation into, or even substitution of, traditional
hit identification workflows. We propose an evaluation framework tailored to this
task, integrating physicochemical, structural, and bioactivity-related criteria within
a multi-stage filtering pipeline that defines the hit-like chemical space. Two autoregressive and one diffusion-based generative models were benchmarked across
various datasets and training settings, with outputs assessed using standard metrics
and target-specific docking scores. Our results show that these models can generate
valid, diverse, and biologically relevant compounds across multiple targets, with
a few selected GSK-3? hits synthesized and confirmed active in vitro. We also
identify key limitations in current evaluation metrics and available training data",https://arxiv.org/pdf/2512.22031,data/thumbnail/arxiv_4.png
HWL-HIN: A Hypergraph-Level Hypergraph Isomorphism Network as Powerful as the Hypergraph Weisfeiler-Lehman Test with Application to Higher-Order Network Robustness,2025,"Chengyu Tian, Wenbin Pei",arXiv,Preprint,Hypergraph isomorphism network; network robustness; hypergraph; prediction,"Robustness in complex systems is of significant
engineering and economic importance. However, conventional
attack-based a posteriori robustness assessments incur prohibitive
computational overhead. Recently, deep learning methods, such
as Convolutional Neural Networks (CNNs) and Graph Neural
Networks (GNNs), have been widely employed as surrogates
for rapid robustness prediction. Nevertheless, these methods
neglect the complex higher-order correlations prevalent in realworld systems, which are naturally modeled as hypergraphs.
Although Hypergraph Neural Networks (HGNNs) have been
widely adopted for hypergraph learning, their topological expressive power has not yet reached the theoretical upper bound.
To address this limitation, inspired by Graph Isomorphism
Networks, this paper proposes a hypergraph-level Hypergraph
Isomorphism Network framework. Theoretically, this approach
is proven to possess an expressive power strictly equivalent to
the Hypergraph Weisfeiler-Lehman test and is applied to predict
hypergraph robustness. Experimental results demonstrate that
while maintaining superior efficiency in training and prediction,
the proposed method not only outperforms existing graph-based
models but also significantly surpasses conventional HGNNs in
tasks that prioritize topological structure representation.",https://arxiv.org/pdf/2512.22014,data/thumbnail/arxiv_5.png
DuaDeep-SeqAffinity: Dual-Stream Deep Learning Framework for Sequence-Only Antigen-Antibody Affinity Prediction,2025,"Aicha Boutorh, Soumia Bouyahiaoui, Sara Belhadj, Nour El Yakine Guendouz, Manel Kara Laouar",arXiv,Preprint,Dual-Stream Deep Learning; Transformer Encoders; 1D Convolutional Neural Networks; Protein Language Models (ESM-2); Antigen-Antibody Interaction; Affinity Prediction; Amino Acid Sequence-only Modeling,"Predicting the binding affinity between antigens and antibodies is fundamental to drug discovery and
vaccine development. Traditional computational approaches often rely on experimentally determined
3D structures, which are scarce and computationally expensive to obtain. This paper introduces
DuaDeep-SeqAffinity, a novel sequence-only deep learning framework that predicts affinity scores
solely from their amino acid sequences using a dual-stream hybrid architecture. Our approach
leverages pre-trained ESM-2 protein language model embeddings, combining 1D Convolutional
Neural Networks (CNNs) for local motif detection with Transformer encoders for global contextual
representation. A subsequent fusion module integrates these multi-faceted features, which are then
passed to a fully connected network for final score regression. Experimental results demonstrate that
DuaDeep-SeqAffinity significantly outperforms individual architectural components and existing
state-of-the-art (SOTA) methods. DuaDeep achieved a superior Pearson correlation of 0.688, an
R2 of 0.460, and a Root Mean Square Error (RMSE) of 0.737, surpassing single-branch variants
ESM-CNN and ESM-Transformer. Notably, the model achieved an Area Under the Curve (AUC)
of 0.890, outperforming sequence-only benchmarks and even surpassing structure-sequence hybrid
models. These findings prove that high-fidelity sequence embeddings can capture essential binding
patterns typically reserved for structural modeling. By eliminating the reliance on 3D structures,
DuaDeep-SeqAffinity provides a highly scalable and efficient solution for high-throughput screening
of vast sequence libraries, significantly accelerating the therapeutic discovery pipeline.",https://arxiv.org/pdf/2512.22007,data/thumbnail/arxiv_6.png
Cosmic-Ray-Constrained LSTM Model for Geomagnetic Storm Prediction,2025,"Zongyuan Ge, Chenwaner Zhang, Wei Zhou, Hongyu Zeng, Guiping Zhou",arXiv,Preprint,Geomagnetic fields (646)  Cosmic rays (329)  Forbush decreases (546)  Space weather (2037)  Neural networks (1938),"Geomagnetic storms (GSTs) driven by solar wind-magnetosphere coupling can severely disrupt technological systems, motivating the need for improved prediction accuracy and longer warning times. In
this study, we develop a physics-informed Long Short-Term Memory (LSTM) model that incorporates
cosmic-ray flux modulation as an additional precursor signal. As coronal mass ejection (CME)-driven
disturbances propagate through the heliosphere, enhanced turbulence and magnetic-field compression
reduce galactic cosmic-ray (GCR) flux measured by ground-based neutron monitors (Forbush decreases), providing early information that can precede near-Earth solar-wind signatures by 13 days.
We integrate multi-source space-weather data, spanning 1995-2020, including cosmic-ray observations,
solar wind plasma parameters, interplanetary magnetic-field data, and geomagnetic indices. Based on
these data, we construct a 19-dimensional feature vector that includes flux background levels, decreaserelated indicators, and inter-station correlation measures as model inputs. Employing a 50-unit LSTM
architecture, the proposed model achieves root-mean-square errors (RMSE) of 5.106 nT, 8.315 nT,
10.854 nT, 12.883 nT, and 14.788 nT for 2-, 6-, 12-, 24-, and 48-hour predictions, respectively. Incorporating cosmic-ray information further improves 48-hour forecast skill by up to 25.84% (from
0.178 to 0.224). These results demonstrate the value of physics-informed deep learning and cosmic-ray
precursors for advancing space-weather forecasting",https://arxiv.org/pdf/2512.22003,data/thumbnail/arxiv_7.png
A Light Weight Neural Network for Automatic Modulation Classification in OFDM Systems,2025,"Indiwara Nanayakkara, Dehan Jayawickrama, Dasuni Jayawardena, Vijitha R. Herath, Arjuna Madanayake",arXiv,Preprint,Lightweight Neural Network; Orthogonal Frequency-Division Multiplexing (OFDM); Recurrent Neural Network (RNN),"Automatic Modulation Classification (AMC) is a
vital component in the development of intelligent and adaptive
transceivers for future wireless communication systems. Existing
statistically-based blind modulation classification methods for
Orthogonal Frequency Division Multiplexing (OFDM) often fail
to achieve the required accuracy and performance. Consequently,
the modulation classification research community has shifted
its focus toward deep learning techniques, which demonstrate
promising performance, but come with increased computational
complexity. In this paper, we propose a lightweight subcarrierbased modulation classification method for OFDM systems. In
the proposed approach, a selected set of subcarriers in an
OFDM frame is classified first, followed by the prediction of
the modulation types for the remaining subcarriers based on
the initial results. A Lightweight Neural Network (LWNN) is
employed to identify the initially selected set of subcarriers, and
its output is fed into a Recurrent Neural Network (RNN) as
an embedded vector to predict the modulation schemes of the
remaining subcarriers in the OFDM frame.",https://arxiv.org/pdf/2512.21941,data/thumbnail/arxiv_8.png
Drug discovery guided by maximum drug likeness,2025,"Hao-Yu Zhu, Shi-Jie Du, Lu Xu, Wei Shi",arXiv,Preprint,Maximum drug likeness; Deep learning; Virtual screening; Drug discovery," To overcome the high attrition rate and limited clinical translatability in drug
discovery, we introduce the concept of Maximum Drug-Likeness (MDL) and develop
an applicable Fivefold MDL strategy (5F-MDL) to reshape the screening paradigm.
The 5F-MDL strategy integrates an ensemble of 33 deep learning sub-models to
construct a 33-dimensional property spectrum that quantifies the global phenotypic
alignment of candidate molecules with clinically approved drugs along five axes:
physicochemical properties, pharmacokinetics, efficacy, safety, and stability. Using
drug-likeness scores derived from this 33-dimensional profile, we prioritized 15 highpotential molecules from a 16-million-molecule library. Experimental validation
demonstrated that the lead compound M2 not only exhibits potent antibacterial activity,
with a minimum inhibitory concentration (MIC) of 25.6 µg/mL, but also achieves
binding stability superior to cefuroxime, as indicated by Molecular Mechanics PoissonBoltzmann surface area (MM-PBSA) calculations of -38.54 kcal/mol and a root-meansquare deviation (RMSD) of 2.8 A. This strategy could overcome scaffold constraints
and offers an efficient route for discovering lead compounds with favorable prospects
against drug-resistant bacteria",https://arxiv.org/pdf/2512.21895,data/thumbnail/arxiv_9.png
S&P 500 Stock's Movement Prediction using CNN,2025,Rahul Gupta,arXiv,Preprint,Stock Market Prediction; Convolutional Neural Networks (CNN); S&P 500; Multivariate Time Series; Algorithmic Trading; Deep Learning for Finance; Raw Financial Data,"This paper is about predicting the movement of stock
consist of S&P 500 index. Historically there are many
approaches have been tried using various methods to
predict the stock movement and being used in the market
currently for algorithm trading and alpha generating
systems using traditional mathematical approaches [1, 2]
.
The success of artificial neural network recently created a
lot of interest and paved the way to enable prediction
using cutting-edge research in the machine learning and
deep learning. Some of these papers have done a great job
in implementing and explaining benefits of these new
technologies. Although most these papers do not go into
the complexity of the financial data and mostly utilize
single dimension data, still most of these papers were
successful in creating the ground for future research in
this comparatively new phenomenon.
In this paper, I am trying to use multivariate raw data
including stock split/dividend events (as-is) present in
real-world market data instead of engineered financial
data. Convolution Neural Network (CNN), the best-known
tool so far for image classification, is used on the multidimensional stock numbers taken from the market
mimicking them as a vector of historical data matrices
(read images) and the model achieves promising results.
The predictions can be made stock by stock, i.e., a single
stock, sector-wise or for the portfolio of stocks. ",https://arxiv.org/pdf/2512.21804,data/thumbnail/arxiv_10.png
